date,total_connectedness,mean_connectedness,active_edges,density
2016-12-23,9.004387064932342,0.06821505352221471,32,0.24242424242424243
2017-03-24,11.284058966945171,0.08548529520413008,37,0.2803030303030303
2017-06-23,9.282534876823593,0.07032223391533025,30,0.22727272727272727
2017-09-22,11.475238471559212,0.08693362478453949,40,0.30303030303030304
2017-12-22,9.81901045218051,0.07438644281954931,36,0.2727272727272727
2018-03-23,8.98001749367418,0.06803043555813773,34,0.25757575757575757
2018-06-22,8.69497766166819,0.06587104289142569,35,0.26515151515151514
2018-09-21,8.191557988781797,0.06205725749077119,35,0.26515151515151514
2018-12-21,7.825884711926184,0.05928700539338018,32,0.24242424242424243
2019-03-22,8.055213323674215,0.06102434336116829,30,0.22727272727272727
2019-06-21,7.832425890146678,0.05933655977383847,30,0.22727272727272727
2019-09-20,7.916052164544642,0.059970092155641225,29,0.2196969696969697
2019-12-20,6.756199726630085,0.05118333126234913,26,0.19696969696969696
2020-03-20,9.045551019234896,0.06852690166087043,36,0.2727272727272727
2020-06-19,7.324130195148239,0.055485834811729084,31,0.23484848484848486
2020-09-18,8.724708716831104,0.0660962781578114,34,0.25757575757575757
2020-12-18,9.764532676221535,0.07397373239561769,37,0.2803030303030303
2021-03-19,8.235198512971369,0.06238786752251037,31,0.23484848484848486
2021-06-18,10.87725547482775,0.0824034505668769,34,0.25757575757575757
2021-09-17,8.972314771304907,0.06797208160079475,33,0.25
2021-12-17,9.524649681777714,0.0721564369831645,33,0.25
2022-03-18,10.466932877846457,0.07929494604429134,40,0.30303030303030304
2022-06-17,9.548099431236956,0.07233408660027997,36,0.2727272727272727
2022-09-16,11.032910830411996,0.08358265780615148,36,0.2727272727272727
2022-12-16,10.377501434923172,0.07861743511305433,39,0.29545454545454547
2023-03-17,8.463541281322788,0.06411773697971809,34,0.25757575757575757
2023-06-16,10.188542018718447,0.07718592438423066,35,0.26515151515151514
2023-09-15,9.803905210513484,0.0742720091705567,34,0.25757575757575757
2023-12-15,8.13692845789218,0.06164339740827409,33,0.25
